Month,MunicipalityNo,OnshoreWindPower,OffshoreWindPower,SolarPower,CentralPower,DecentralPower
2022-04-01T00:00:00,860,,,2133.39,,
2022-04-01T00:00:00,851,,,2586.86,,
2022-04-01T00:00:00,849,,,1362.572,,
2022-04-01T00:00:00,846,,,1448.091,,
2022-04-01T00:00:00,840,,,1055.382,,
2022-04-01T00:00:00,825,,,898.085,,
2022-04-01T00:00:00,820,,,6259.549,,
2022-04-01T00:00:00,813,,,3134.584,,
2022-04-01T00:00:00,810,,,1073.234,,
2022-04-01T00:00:00,791,,,2422.328,,
2022-04-01T00:00:00,787,,,7767.938,,
2022-04-01T00:00:00,779,,,5873.91,,
2022-04-01T00:00:00,773,,,3756.359,,
2022-04-01T00:00:00,766,,,1302.137,,
2022-04-01T00:00:00,760,,,6438.23,,
2022-04-01T00:00:00,756,,,1009.717,,
2022-04-01T00:00:00,751,,,4393.255,,
2022-04-01T00:00:00,746,,,1131.683,,
2022-04-01T00:00:00,741,,,189.821,,
2022-04-01T00:00:00,740,,,3657.321,,
2022-04-01T00:00:00,730,,,6930.819,,
2022-04-01T00:00:00,727,,,444.057,,
2022-04-01T00:00:00,710,,,984.185,,
2022-04-01T00:00:00,707,,,4070.78,,
2022-04-01T00:00:00,706,,,1126.273,,
2022-04-01T00:00:00,671,,,553.23,,
2022-04-01T00:00:00,665,,,8208.657,,
2022-04-01T00:00:00,661,,,19347.309,,
2022-04-01T00:00:00,657,,,4655.461,,
2022-04-01T00:00:00,630,,,11162.708,,
2022-04-01T00:00:00,621,,,1948.876,,
2022-04-01T00:00:00,615,,,2115.191,,
2022-04-01T00:00:00,607,,,685.293,,
2022-04-01T00:00:00,580,,,4335.413,,
2022-04-01T00:00:00,575,,,1099.093,,
2022-04-01T00:00:00,573,,,1785.575,,
2022-04-01T00:00:00,563,,,111.814,,
2022-04-01T00:00:00,561,,,1928.903,,
2022-04-01T00:00:00,550,,,1199.191,,
2022-04-01T00:00:00,540,,,4896.387,,
2022-04-01T00:00:00,530,,,791.07,,
2022-04-01T00:00:00,510,,,1443.496,,
2022-04-01T00:00:00,492,,,189.196,,
2022-04-01T00:00:00,482,,,300.752,,
2022-04-01T00:00:00,480,,,642.763,,
2022-04-01T00:00:00,479,,,3912.993,,
2022-04-01T00:00:00,461,,,2044.861,,
2022-04-01T00:00:00,450,,,551.752,,
2022-04-01T00:00:00,440,,,503.667,,
2022-04-01T00:00:00,430,,,1310.783,,
2022-04-01T00:00:00,420,,,1516.007,,
2022-04-01T00:00:00,410,,,959.353,,
2022-04-01T00:00:00,400,,,3032.697,,
2022-04-01T00:00:00,390,,,1175.612,,
2022-04-01T00:00:00,376,,,5054.613,,
2022-04-01T00:00:00,370,,,8270.213,,
2022-04-01T00:00:00,360,,,14637.769,,
2022-04-01T00:00:00,350,,,688.801,,
2022-04-01T00:00:00,340,,,542.279,,
2022-04-01T00:00:00,336,,,491.821,,
2022-04-01T00:00:00,330,,,5051.733,,
2022-04-01T00:00:00,329,,,595.014,,
2022-04-01T00:00:00,326,,,7075.788,,
2022-04-01T00:00:00,320,,,1344.245,,
2022-04-01T00:00:00,316,,,2026.546,,
2022-04-01T00:00:00,306,,,873.76,,
2022-04-01T00:00:00,270,,,882.348,,
2022-04-01T00:00:00,269,,,407.933,,
2022-04-01T00:00:00,265,,,1659.607,,
2022-04-01T00:00:00,260,,,668.48,,
2022-04-01T00:00:00,259,,,1059.74,,
2022-04-01T00:00:00,253,,,863.79,,
2022-04-01T00:00:00,250,,,691.351,,
2022-04-01T00:00:00,240,,,662.934,,
2022-04-01T00:00:00,230,,,676.636,,
2022-04-01T00:00:00,223,,,249.247,,
2022-04-01T00:00:00,219,,,856.63,,
2022-04-01T00:00:00,217,,,542.397,,
2022-04-01T00:00:00,210,,,421.843,,
2022-04-01T00:00:00,201,,,467.064,,
2022-04-01T00:00:00,190,,,398.497,,
2022-04-01T00:00:00,187,,,129.042,,
2022-04-01T00:00:00,185,,,391.707,,
2022-04-01T00:00:00,183,,,289.822,,
2022-04-01T00:00:00,175,,,287.684,,
2022-04-01T00:00:00,173,,,522.802,,
2022-04-01T00:00:00,169,,,1125.141,,
2022-04-01T00:00:00,167,,,640.888,,
2022-04-01T00:00:00,165,,,215.547,,
2022-04-01T00:00:00,163,,,487.282,,
2022-04-01T00:00:00,161,,,217.144,,
2022-04-01T00:00:00,159,,,524.516,,
2022-04-01T00:00:00,157,,,411.653,,
2022-04-01T00:00:00,155,,,137.088,,
2022-04-01T00:00:00,153,,,423.652,,
2022-04-01T00:00:00,151,,,886.144,,
2022-04-01T00:00:00,147,,,219.761,,
2022-04-01T00:00:00,101,,,2426.019,,
2022-03-01T00:00:00,999,6156.294526,284027.0548,,0,9709.4413
2022-03-01T00:00:00,860,19081.70365,0,1643.011,0,7019.27894
2022-03-01T00:00:00,851,20124.25836,0,2222.278,226769.0836,18374.8038
2022-03-01T00:00:00,849,30004.72012,0,1148.432,0,2191.097113
2022-03-01T00:00:00,846,14927.16374,0,1305.931,0,1746.78509
2022-03-01T00:00:00,840,7700.785268,0,943.813,0,2171.476882
2022-03-01T00:00:00,825,0,0,725.249,0,4.59803
2022-03-01T00:00:00,820,21754.76282,0,5474.211,0,2959.66369
2022-03-01T00:00:00,813,6623.552233,1035.44,2361.566,0,7704.24626
2022-03-01T00:00:00,810,16216.53706,0,888.471,0,5739.780583
2022-03-01T00:00:00,791,9815.787025,0,2200.592,0,30724.29935
