,HourDK,Consumption_MWh,Month,Day,Hour,Weekday
0,2020-01-01 01:00:00,2763.288864,1,1,1,2
1,2020-01-01 02:00:00,2676.228206,1,1,2,2
2,2020-01-01 03:00:00,2577.559711,1,1,3,2
3,2020-01-01 04:00:00,2530.77744,1,1,4,2
4,2020-01-01 05:00:00,2540.383946,1,1,5,2
5,2020-01-01 06:00:00,2610.0396140000003,1,1,6,2
6,2020-01-01 07:00:00,2696.549914,1,1,7,2
7,2020-01-01 08:00:00,2782.286657,1,1,8,2
8,2020-01-01 09:00:00,2908.097228,1,1,9,2
9,2020-01-01 10:00:00,3050.122787,1,1,10,2
10,2020-01-01 11:00:00,3132.723578,1,1,11,2
11,2020-01-01 12:00:00,3170.142431,1,1,12,2
12,2020-01-01 13:00:00,3161.929749,1,1,13,2
13,2020-01-01 14:00:00,3188.624636,1,1,14,2
14,2020-01-01 15:00:00,3272.373877,1,1,15,2
15,2020-01-01 16:00:00,3525.777169,1,1,16,2
16,2020-01-01 17:00:00,3791.8683929999997,1,1,17,2
17,2020-01-01 18:00:00,3695.968027,1,1,18,2
18,2020-01-01 19:00:00,3485.924179,1,1,19,2
19,2020-01-01 20:00:00,3301.453567,1,1,20,2
20,2020-01-01 21:00:00,3120.053216,1,1,21,2
21,2020-01-01 22:00:00,2927.953985,1,1,22,2
22,2020-01-01 23:00:00,2743.892396,1,1,23,2
23,2020-01-02 00:00:00,2619.002856,1,2,0,3
24,2020-01-02 01:00:00,2602.810907,1,2,1,3
25,2020-01-02 02:00:00,2568.947371,1,2,2,3
26,2020-01-02 03:00:00,2578.543833,1,2,3,3
27,2020-01-02 04:00:00,2644.9960899999996,1,2,4,3
28,2020-01-02 05:00:00,2845.015374,1,2,5,3
29,2020-01-02 06:00:00,3297.717901,1,2,6,3
30,2020-01-02 07:00:00,3848.947271,1,2,7,3
31,2020-01-02 08:00:00,4188.839079,1,2,8,3
32,2020-01-02 09:00:00,4301.326057,1,2,9,3
33,2020-01-02 10:00:00,4382.455111,1,2,10,3
34,2020-01-02 11:00:00,4365.535744,1,2,11,3
35,2020-01-02 12:00:00,4352.259277,1,2,12,3
36,2020-01-02 13:00:00,4333.850294,1,2,13,3
37,2020-01-02 14:00:00,4350.357174,1,2,14,3
38,2020-01-02 15:00:00,4336.954755,1,2,15,3
39,2020-01-02 16:00:00,4526.843616,1,2,16,3
40,2020-01-02 17:00:00,4702.0754799999995,1,2,17,3
41,2020-01-02 18:00:00,4558.467676,1,2,18,3
42,2020-01-02 19:00:00,4215.085421,1,2,19,3
43,2020-01-02 20:00:00,3993.3395490000003,1,2,20,3
44,2020-01-02 21:00:00,3839.474968,1,2,21,3
45,2020-01-02 22:00:00,3577.372994,1,2,22,3
46,2020-01-02 23:00:00,3320.4943000000003,1,2,23,3
47,2020-01-03 00:00:00,3098.014189,1,3,0,4
48,2020-01-03 01:00:00,2992.074469,1,3,1,4
49,2020-01-03 02:00:00,2929.2757850000003,1,3,2,4
50,2020-01-03 03:00:00,2936.73804,1,3,3,4
51,2020-01-03 04:00:00,2948.107448,1,3,4,4
52,2020-01-03 05:00:00,3120.71322,1,3,5,4
53,2020-01-03 06:00:00,3590.512557,1,3,6,4
54,2020-01-03 07:00:00,4124.665798,1,3,7,4
55,2020-01-03 08:00:00,4336.39179,1,3,8,4
56,2020-01-03 09:00:00,4436.518185999999,1,3,9,4
57,2020-01-03 10:00:00,4487.89425,1,3,10,4
58,2020-01-03 11:00:00,4476.028416,1,3,11,4
59,2020-01-03 12:00:00,4366.411412,1,3,12,4
60,2020-01-03 13:00:00,4307.337841,1,3,13,4
61,2020-01-03 14:00:00,4215.700317,1,3,14,4
62,2020-01-03 15:00:00,4186.675116,1,3,15,4
63,2020-01-03 16:00:00,4361.328117999999,1,3,16,4
64,2020-01-03 17:00:00,4648.455519,1,3,17,4
65,2020-01-03 18:00:00,4500.393086,1,3,18,4
66,2020-01-03 19:00:00,4155.502977,1,3,19,4
67,2020-01-03 20:00:00,3878.251777,1,3,20,4
68,2020-01-03 21:00:00,3641.110066,1,3,21,4
69,2020-01-03 22:00:00,3424.810252,1,3,22,4
70,2020-01-03 23:00:00,3222.11411,1,3,23,4
71,2020-01-04 00:00:00,3106.887302,1,4,0,5
72,2020-01-04 01:00:00,2951.980195,1,4,1,5
73,2020-01-04 02:00:00,2893.312743,1,4,2,5
74,2020-01-04 03:00:00,2874.755712,1,4,3,5
75,2020-01-04 04:00:00,2933.7952960000002,1,4,4,5
76,2020-01-04 05:00:00,2945.796688,1,4,5,5
77,2020-01-04 06:00:00,3064.178919,1,4,6,5
78,2020-01-04 07:00:00,3295.422555,1,4,7,5
79,2020-01-04 08:00:00,3541.437382,1,4,8,5
80,2020-01-04 09:00:00,3717.9888339999998,1,4,9,5
81,2020-01-04 10:00:00,3798.728145,1,4,10,5
82,2020-01-04 11:00:00,3818.748436,1,4,11,5
83,2020-01-04 12:00:00,3775.251018,1,4,12,5
84,2020-01-04 13:00:00,3745.378991,1,4,13,5
85,2020-01-04 14:00:00,3717.689754,1,4,14,5
86,2020-01-04 15:00:00,3712.002554,1,4,15,5
87,2020-01-04 16:00:00,3982.478982,1,4,16,5
88,2020-01-04 17:00:00,4326.403343,1,4,17,5
89,2020-01-04 18:00:00,4353.164772,1,4,18,5
90,2020-01-04 19:00:00,4049.867464,1,4,19,5
91,2020-01-04 20:00:00,3792.380543,1,4,20,5
92,2020-01-04 21:00:00,3537.435092,1,4,21,5
93,2020-01-04 22:00:00,3322.2452479999997,1,4,22,5
94,2020-01-04 23:00:00,3162.3946379999998,1,4,23,5
95,2020-01-05 00:00:00,2938.234867,1,5,0,6
96,2020-01-05 01:00:00,2825.496806,1,5,1,6
97,2020-01-05 02:00:00,2749.811777,1,5,2,6
98,2020-01-05 03:00:00,2719.8477430000003,1,5,3,6
99,2020-01-05 04:00:00,2741.748349,1,5,4,6
100,2020-01-05 05:00:00,2800.31724,1,5,5,6
101,2020-01-05 06:00:00,2927.4072690000003,1,5,6,6
102,2020-01-05 07:00:00,3133.651278,1,5,7,6
103,2020-01-05 08:00:00,3366.506015,1,5,8,6
104,2020-01-05 09:00:00,3550.617477,1,5,9,6
105,2020-01-05 10:00:00,3665.655986,1,5,10,6
106,2020-01-05 11:00:00,3693.3038619999998,1,5,11,6
107,2020-01-05 12:00:00,3702.1446669999996,1,5,12,6
108,2020-01-05 13:00:00,3705.303522,1,5,13,6
109,2020-01-05 14:00:00,3713.275893,1,5,14,6
110,2020-01-05 15:00:00,3799.8916910000003,1,5,15,6
111,2020-01-05 16:00:00,4035.623375,1,5,16,6
112,2020-01-05 17:00:00,4353.730499,1,5,17,6
113,2020-01-05 18:00:00,4223.881928,1,5,18,6
114,2020-01-05 19:00:00,3938.024716,1,5,19,6
115,2020-01-05 20:00:00,3655.661231,1,5,20,6
116,2020-01-05 21:00:00,3446.828236,1,5,21,6
117,2020-01-05 22:00:00,3359.659466,1,5,22,6
118,2020-01-05 23:00:00,3149.162281,1,5,23,6
119,2020-01-06 00:00:00,2966.098202,1,6,0,0
120,2020-01-06 01:00:00,2866.518288,1,6,1,0
121,2020-01-06 02:00:00,2861.579788,1,6,2,0
122,2020-01-06 03:00:00,2842.332955,1,6,3,0
123,2020-01-06 04:00:00,2880.971918,1,6,4,0
124,2020-01-06 05:00:00,3145.869321,1,6,5,0
125,2020-01-06 06:00:00,3769.4482829999997,1,6,6,0
126,2020-01-06 07:00:00,4346.881399,1,6,7,0
127,2020-01-06 08:00:00,4566.781835,1,6,8,0
128,2020-01-06 09:00:00,4607.123031,1,6,9,0
129,2020-01-06 10:00:00,4594.820674,1,6,10,0
130,2020-01-06 11:00:00,4550.990825,1,6,11,0
131,2020-01-06 12:00:00,4527.600944,1,6,12,0
132,2020-01-06 13:00:00,4552.627691,1,6,13,0
133,2020-01-06 14:00:00,4579.255865,1,6,14,0
134,2020-01-06 15:00:00,4530.066434,1,6,15,0
135,2020-01-06 16:00:00,4666.257163,1,6,16,0
136,2020-01-06 17:00:00,4943.626581,1,6,17,0
137,2020-01-06 18:00:00,4712.093252,1,6,18,0
138,2020-01-06 19:00:00,4450.146907,1,6,19,0
139,2020-01-06 20:00:00,4160.81051,1,6,20,0
140,2020-01-06 21:00:00,3887.4826270000003,1,6,21,0
141,2020-01-06 22:00:00,3578.669261,1,6,22,0
142,2020-01-06 23:00:00,3228.885705,1,6,23,0
143,2020-01-07 00:00:00,3017.297134,1,7,0,1
144,2020-01-07 01:00:00,2952.951161,1,7,1,1
145,2020-01-07 02:00:00,2912.7365179999997,1,7,2,1
146,2020-01-07 03:00:00,2897.956679,1,7,3,1
147,2020-01-07 04:00:00,2965.353534,1,7,4,1
148,2020-01-07 05:00:00,3171.5508179999997,1,7,5,1
149,2020-01-07 06:00:00,3767.027885,1,7,6,1
150,2020-01-07 07:00:00,4359.420491,1,7,7,1
151,2020-01-07 08:00:00,4573.895478,1,7,8,1
152,2020-01-07 09:00:00,4556.911931,1,7,9,1
153,2020-01-07 10:00:00,4578.66637,1,7,10,1
154,2020-01-07 11:00:00,4537.463245,1,7,11,1
155,2020-01-07 12:00:00,4471.72601,1,7,12,1
156,2020-01-07 13:00:00,4456.07007,1,7,13,1
157,2020-01-07 14:00:00,4402.041572,1,7,14,1
158,2020-01-07 15:00:00,4489.428176,1,7,15,1
159,2020-01-07 16:00:00,4599.128481000001,1,7,16,1
160,2020-01-07 17:00:00,5021.894978,1,7,17,1
161,2020-01-07 18:00:00,4823.334378,1,7,18,1
162,2020-01-07 19:00:00,4508.225947,1,7,19,1
163,2020-01-07 20:00:00,4221.499881,1,7,20,1
164,2020-01-07 21:00:00,4001.8161450000002,1,7,21,1
165,2020-01-07 22:00:00,3681.952306,1,7,22,1
166,2020-01-07 23:00:00,3383.940857,1,7,23,1
167,2020-01-08 00:00:00,3212.523938,1,8,0,2
168,2020-01-08 01:00:00,3077.495534,1,8,1,2
169,2020-01-08 02:00:00,3030.11303,1,8,2,2
170,2020-01-08 03:00:00,3020.106398,1,8,3,2
171,2020-01-08 04:00:00,3073.013327,1,8,4,2
172,2020-01-08 05:00:00,3325.678522,1,8,5,2
173,2020-01-08 06:00:00,3904.854109,1,8,6,2
174,2020-01-08 07:00:00,4564.84132,1,8,7,2
175,2020-01-08 08:00:00,4751.687027,1,8,8,2
176,2020-01-08 09:00:00,4756.433335,1,8,9,2
177,2020-01-08 10:00:00,4766.477879,1,8,10,2
178,2020-01-08 11:00:00,4696.27252,1,8,11,2
179,2020-01-08 12:00:00,4602.579692,1,8,12,2
180,2020-01-08 13:00:00,4498.123883,1,8,13,2
181,2020-01-08 14:00:00,4384.20508,1,8,14,2
182,2020-01-08 15:00:00,4330.57855,1,8,15,2
183,2020-01-08 16:00:00,4515.165775,1,8,16,2
184,2020-01-08 17:00:00,4825.665292000001,1,8,17,2
185,2020-01-08 18:00:00,4650.947323,1,8,18,2
186,2020-01-08 19:00:00,4343.769929,1,8,19,2
187,2020-01-08 20:00:00,4060.1766509999998,1,8,20,2
188,2020-01-08 21:00:00,3792.761509,1,8,21,2
189,2020-01-08 22:00:00,3502.013338,1,8,22,2
190,2020-01-08 23:00:00,3220.707113,1,8,23,2
191,2020-01-09 00:00:00,3020.322913,1,9,0,3
192,2020-01-09 01:00:00,2931.508132,1,9,1,3
193,2020-01-09 02:00:00,2890.571216,1,9,2,3
194,2020-01-09 03:00:00,2913.086731,1,9,3,3
195,2020-01-09 04:00:00,3051.667136,1,9,4,3
196,2020-01-09 05:00:00,3220.420174,1,9,5,3
197,2020-01-09 06:00:00,3808.8522,1,9,6,3
198,2020-01-09 07:00:00,4413.2538540000005,1,9,7,3
199,2020-01-09 08:00:00,4628.762876,1,9,8,3
200,2020-01-09 09:00:00,4621.482002,1,9,9,3
201,2020-01-09 10:00:00,4694.798227,1,9,10,3
202,2020-01-09 11:00:00,4712.803889,1,9,11,3
203,2020-01-09 12:00:00,4666.731514,1,9,12,3
204,2020-01-09 13:00:00,4684.832582,1,9,13,3
205,2020-01-09 14:00:00,4751.608864,1,9,14,3
206,2020-01-09 15:00:00,4674.784723,1,9,15,3
207,2020-01-09 16:00:00,4731.616852,1,9,16,3
208,2020-01-09 17:00:00,4905.504554,1,9,17,3
209,2020-01-09 18:00:00,4704.189214999999,1,9,18,3
210,2020-01-09 19:00:00,4470.621064,1,9,19,3
211,2020-01-09 20:00:00,4107.22254,1,9,20,3
212,2020-01-09 21:00:00,3826.204432,1,9,21,3
213,2020-01-09 22:00:00,3461.978063,1,9,22,3
214,2020-01-09 23:00:00,3170.823508,1,9,23,3
215,2020-01-10 00:00:00,3083.496611,1,10,0,4
216,2020-01-10 01:00:00,2952.9565350000003,1,10,1,4
217,2020-01-10 02:00:00,2874.244823,1,10,2,4
218,2020-01-10 03:00:00,2836.789964,1,10,3,4
219,2020-01-10 04:00:00,3049.171891,1,10,4,4
220,2020-01-10 05:00:00,3254.418331,1,10,5,4
