Month,MunicipalityNo,Industrycode_DE35,MeasurementPoints,TotalCon
2022-03-01,999,999,546,705395
2022-03-01,999,461,13,1008745
2022-03-01,999,450,87,89060
2022-03-01,999,447,25,161785
2022-03-01,999,441,28,21051
2022-03-01,999,433,18,19032
2022-03-01,999,432,21,34059
2022-03-01,999,421,15,9980
2022-03-01,999,130,18,4347
2022-03-01,999,121,65,25717
2022-03-01,999,119,17,17470
2022-03-01,999,111,188,26836
2022-03-01,860,999,7423,9857440
2022-03-01,860,450,154,93961
2022-03-01,860,447,165,622146
2022-03-01,860,446,375,402505
2022-03-01,860,445,352,399762
2022-03-01,860,444,62,365767
2022-03-01,860,443,102,605755
2022-03-01,860,442,172,349753
2022-03-01,860,441,249,2861333
2022-03-01,860,433,398,765776
2022-03-01,860,432,266,725823
2022-03-01,860,431,455,1017959
2022-03-01,860,422,119,660481
2022-03-01,860,421,530,1598765
2022-03-01,860,410,191,377277
2022-03-01,860,390,25,64528
2022-03-01,860,382,12,342047
2022-03-01,860,370,90,265646
2022-03-01,860,360,35,608478
2022-03-01,860,350,26,747690
2022-03-01,860,340,33,39377
2022-03-01,860,330,88,124438
2022-03-01,860,320,34,348339
2022-03-01,860,310,105,2521564
2022-03-01,860,220,14,10557
2022-03-01,860,215,15,1205
2022-03-01,860,212,439,736248
2022-03-01,860,211,2841,4049864
2022-03-01,860,130,5266,1686683
2022-03-01,860,123,397,493448
2022-03-01,860,122,1239,1154315
2022-03-01,860,121,16724,4683331
2022-03-01,860,119,1500,701386
2022-03-01,860,112,80,37787
2022-03-01,860,111,6339,1011635
2022-03-01,851,999,33216,43216555
2022-03-01,851,462,34,396032
2022-03-01,851,461,31,110882
2022-03-01,851,450,580,236082
2022-03-01,851,447,166,1070995
2022-03-01,851,446,675,1324216
2022-03-01,851,445,750,619484
2022-03-01,851,444,196,1093411
2022-03-01,851,443,218,2199110
2022-03-01,851,442,265,1373811
2022-03-01,851,441,505,2907167
2022-03-01,851,433,801,1553219
2022-03-01,851,432,775,1533404
2022-03-01,851,431,412,1511395
