,HourDK,PriceDK1,Month,Day,Hour,Weekday,PriceDK2,SpotPriceDKK,Year
87664,2020-01-01 00:00:00,249.65,1,1,0,2,249.65,249.65,2020
87665,2020-01-01 01:00:00,237.33,1,1,1,2,237.33,237.33,2020
87666,2020-01-01 02:00:00,235.83,1,1,2,2,235.83,235.83,2020
87667,2020-01-01 03:00:00,233.66,1,1,3,2,233.66,233.66,2020
87668,2020-01-01 04:00:00,230.45,1,1,4,2,230.45,230.45,2020
87669,2020-01-01 05:00:00,225.15,1,1,5,2,225.15,225.15,2020
87670,2020-01-01 06:00:00,225.37,1,1,6,2,225.37,225.37,2020
87671,2020-01-01 07:00:00,224.1,1,1,7,2,224.1,224.1,2020
87672,2020-01-01 08:00:00,228.81,1,1,8,2,228.81,228.81,2020
87673,2020-01-01 09:00:00,228.51,1,1,9,2,228.51,228.51,2020
87674,2020-01-01 10:00:00,226.12,1,1,10,2,226.12,226.12,2020
87675,2020-01-01 11:00:00,226.64,1,1,11,2,226.64,226.64,2020
87676,2020-01-01 12:00:00,228.51,1,1,12,2,228.51,228.51,2020
87677,2020-01-01 13:00:00,224.4,1,1,13,2,224.4,224.4,2020
87678,2020-01-01 14:00:00,228.59,1,1,14,2,228.59,228.59,2020
87679,2020-01-01 15:00:00,232.25,1,1,15,2,232.25,232.25,2020
87680,2020-01-01 16:00:00,235.53,1,1,16,2,235.53,235.53,2020
87681,2020-01-01 17:00:00,237.4,1,1,17,2,237.4,237.4,2020
87682,2020-01-01 18:00:00,236.35,1,1,18,2,236.35,236.35,2020
87683,2020-01-01 19:00:00,234.86,1,1,19,2,234.86,234.86,2020
87684,2020-01-01 20:00:00,234.19,1,1,20,2,234.19,234.19,2020
87685,2020-01-01 21:00:00,232.1,1,1,21,2,232.1,232.1,2020
87686,2020-01-01 22:00:00,231.27,1,1,22,2,231.27,231.27,2020
87687,2020-01-01 23:00:00,228.66,1,1,23,2,228.66,228.66,2020
87688,2020-01-02 00:00:00,229.93,1,2,0,3,229.93,229.93,2020
87689,2020-01-02 01:00:00,228.89,1,2,1,3,228.89,228.89,2020
87690,2020-01-02 02:00:00,227.32,1,2,2,3,227.32,227.32,2020
87691,2020-01-02 03:00:00,215.07,1,2,3,3,215.07,215.07,2020
87692,2020-01-02 04:00:00,212.3,1,2,4,3,212.3,212.3,2020
87693,2020-01-02 05:00:00,214.77,1,2,5,3,214.77,214.77,2020
87694,2020-01-02 06:00:00,249.36,1,2,6,3,255.18,252.27,2020
87695,2020-01-02 07:00:00,237.48,1,2,7,3,314.27,275.875,2020
87696,2020-01-02 08:00:00,237.78,1,2,8,3,335.34,286.56,2020
87697,2020-01-02 09:00:00,237.1,1,2,9,3,338.1,287.6,2020
87698,2020-01-02 10:00:00,236.28,1,2,10,3,340.42,288.35,2020
87699,2020-01-02 11:00:00,233.97,1,2,11,3,336.83,285.4,2020
87700,2020-01-02 12:00:00,232.1,1,2,12,3,337.35,284.725,2020
87701,2020-01-02 13:00:00,232.02,1,2,13,3,335.41,283.71500000000003,2020
87702,2020-01-02 14:00:00,232.1,1,2,14,3,329.14,280.62,2020
87703,2020-01-02 15:00:00,233.52,1,2,15,3,334.96,284.24,2020
87704,2020-01-02 16:00:00,234.64,1,2,16,3,331.68,283.15999999999997,2020
87705,2020-01-02 17:00:00,234.56,1,2,17,3,344.0,289.28,2020
87706,2020-01-02 18:00:00,232.32,1,2,18,3,349.01,290.66499999999996,2020
87707,2020-01-02 19:00:00,229.71,1,2,19,3,338.1,283.90500000000003,2020
87708,2020-01-02 20:00:00,227.62,1,2,20,3,293.73,260.675,2020
87709,2020-01-02 21:00:00,224.85,1,2,21,3,224.85,224.85,2020
87710,2020-01-02 22:00:00,221.94,1,2,22,3,221.94,221.94,2020
87711,2020-01-02 23:00:00,186.68,1,2,23,3,186.68,186.68,2020
87712,2020-01-03 00:00:00,141.43,1,3,0,4,141.43,141.43,2020
87713,2020-01-03 01:00:00,74.56,1,3,1,4,74.56,74.56,2020
87714,2020-01-03 02:00:00,11.43,1,3,2,4,11.43,11.43,2020
87715,2020-01-03 03:00:00,1.05,1,3,3,4,1.05,1.05,2020
87716,2020-01-03 04:00:00,6.35,1,3,4,4,6.35,6.35,2020
87717,2020-01-03 05:00:00,74.11,1,3,5,4,74.11,74.11,2020
87718,2020-01-03 06:00:00,182.89,1,3,6,4,182.89,182.89,2020
87719,2020-01-03 07:00:00,199.33,1,3,7,4,199.33,199.33,2020
87720,2020-01-03 08:00:00,215.24,1,3,8,4,215.24,215.24,2020
87721,2020-01-03 09:00:00,218.75,1,3,9,4,218.75,218.75,2020
87722,2020-01-03 10:00:00,215.54,1,3,10,4,215.54,215.54,2020
87723,2020-01-03 11:00:00,237.58,1,3,11,4,237.58,237.58,2020
87724,2020-01-03 12:00:00,227.04,1,3,12,4,283.45,255.245,2020
87725,2020-01-03 13:00:00,225.92,1,3,13,4,283.15,254.53499999999997,2020
87726,2020-01-03 14:00:00,225.55,1,3,14,4,284.72,255.13500000000002,2020
87727,2020-01-03 15:00:00,227.12,1,3,15,4,283.23,255.175,2020
